Time,Hs,Tp,year
1/1/2020 0:00,2.2240002,10.91,2020
1/1/2020 1:00,2.2,10.7699995,2020
1/1/2020 2:00,2.17,10.61,2020
1/1/2020 3:00,2.1360002,10.49,2020
1/1/2020 4:00,2.102,10.4,2020
1/1/2020 5:00,2.068,10.349999,2020
1/1/2020 6:00,2.0340002,10.309999,2020
1/1/2020 7:00,1.9980001,10.3,2020
1/1/2020 8:00,1.96,10.3,2020
1/1/2020 9:00,1.9200001,10.3,2020
1/1/2020 10:00,1.8780001,10.309999,2020
1/1/2020 11:00,1.8320001,10.32,2020
1/1/2020 12:00,1.7880001,10.32,2020
1/1/2020 13:00,1.7440001,10.2699995,2020
1/1/2020 14:00,1.7040001,10.34,2020
1/1/2020 15:00,1.6700001,10.36,2020
1/1/2020 16:00,1.6420001,10.37,2020
1/1/2020 17:00,1.6200001,10.469999,2020
1/1/2020 18:00,1.6020001,10.84,2020
1/1/2020 19:00,1.5920001,10.929999,2020
1/1/2020 20:00,1.582,11.01,2020
1/1/2020 21:00,1.572,11.03,2020
1/1/2020 22:00,1.5600001,11.12,2020
1/1/2020 23:00,1.5480001,11.11,2020
1/2/2020 0:00,1.536,11.08,2020
1/2/2020 1:00,1.524,11.0199995,2020
1/2/2020 2:00,1.5120001,13.54,2020
1/2/2020 3:00,1.498,13.469999,2020
1/2/2020 4:00,1.4820001,13.33,2020
1/2/2020 5:00,1.4660001,12.96,2020
1/2/2020 6:00,1.4540001,12.599999,2020
1/2/2020 7:00,1.4480001,12.48,2020
1/2/2020 8:00,1.4460001,12.429999,2020
1/2/2020 9:00,1.4480001,12.38,2020
1/2/2020 10:00,1.44,12.33,2020
1/2/2020 11:00,1.44,12.2699995,2020
1/2/2020 12:00,1.4640001,12.2,2020
1/2/2020 13:00,1.496,12.12,2020
1/2/2020 14:00,1.5400001,12.04,2020
1/2/2020 15:00,1.6040001,11.969999,2020
1/2/2020 16:00,1.7080001,11.929999,2020
1/2/2020 17:00,1.8620001,11.9,2020
1/2/2020 18:00,2.052,11.9,2020
1/2/2020 19:00,2.256,18.21,2020
1/2/2020 20:00,2.456,17.68,2020
1/2/2020 21:00,2.634,17,2020
1/2/2020 22:00,2.786,16.58,2020
1/2/2020 23:00,2.9180002,16.18,2020
1/3/2020 0:00,3.0340002,15.79,2020
1/3/2020 1:00,3.134,15.54,2020
1/3/2020 2:00,3.2120001,15.299999,2020
1/3/2020 3:00,3.2680001,15.07,2020
1/3/2020 4:00,3.302,14.87,2020
1/3/2020 5:00,3.3200002,14.73,2020
1/3/2020 6:00,3.3220003,14.599999,2020
1/3/2020 7:00,3.3140001,14.4,2020
1/3/2020 8:00,3.298,14.07,2020
1/3/2020 9:00,3.2740002,13.87,2020
1/3/2020 10:00,3.2400002,13.75,2020
1/3/2020 11:00,3.1980002,13.69,2020
1/3/2020 12:00,3.1520002,13.67,2020
1/3/2020 13:00,3.114,13.69,2020
1/3/2020 14:00,3.088,13.7,2020
1/3/2020 15:00,3.0600002,13.57,2020
1/3/2020 16:00,3.032,13.429999,2020
1/3/2020 17:00,3.0100002,13.4,2020
1/3/2020 18:00,2.9940002,13.4,2020
1/3/2020 19:00,2.976,13.389999,2020
1/3/2020 20:00,2.946,13.34,2020
1/3/2020 21:00,2.91,13.219999,2020
1/3/2020 22:00,2.88,12.849999,2020
1/3/2020 23:00,2.854,12.59,2020
1/4/2020 0:00,2.834,12.49,2020
1/4/2020 1:00,2.8140001,12.429999,2020
1/4/2020 2:00,2.7940001,12.389999,2020
1/4/2020 3:00,2.7740002,12.36,2020
1/4/2020 4:00,2.756,12.32,2020
1/4/2020 5:00,2.7480001,12.28,2020
1/4/2020 6:00,2.752,12.23,2020
1/4/2020 7:00,2.7640002,12.16,2020
1/4/2020 8:00,2.782,12.08,2020
1/4/2020 9:00,2.8000002,12,2020
1/4/2020 10:00,2.8140001,11.9,2020
1/4/2020 11:00,2.8240001,11.809999,2020
1/4/2020 12:00,2.828,11.74,2020
1/4/2020 13:00,2.8240001,11.7,2020
1/4/2020 14:00,2.8140001,11.7,2020
1/4/2020 15:00,2.7940001,13.95,2020
1/4/2020 16:00,2.7680001,13.88,2020
1/4/2020 17:00,2.7380002,13.82,2020
1/4/2020 18:00,2.706,13.69,2020
1/4/2020 19:00,2.67,13.549999,2020
1/4/2020 20:00,2.63,13.48,2020
1/4/2020 21:00,2.584,13.46,2020
1/4/2020 22:00,2.536,13.5,2020
1/4/2020 23:00,2.486,13.509999,2020
1/5/2020 0:00,2.434,13.5199995,2020
1/5/2020 1:00,2.3820002,13.5199995,2020
1/5/2020 2:00,2.322,13.5,2020
1/5/2020 3:00,2.26,13.469999,2020
1/5/2020 4:00,2.194,13.44,2020
1/5/2020 5:00,2.128,13.4,2020
1/5/2020 6:00,2.066,13.36,2020
1/5/2020 7:00,2.0080001,13.309999,2020
1/5/2020 8:00,1.9560001,13.25,2020
1/5/2020 9:00,1.9060001,13.16,2020
1/5/2020 10:00,1.858,12.96,2020
1/5/2020 11:00,1.812,12.79,2020
1/5/2020 12:00,1.766,12.679999,2020
1/5/2020 13:00,1.72,12.59,2020
1/5/2020 14:00,1.672,12.53,2020
1/5/2020 15:00,1.628,12.5,2020
1/5/2020 16:00,1.5840001,12.46,2020
1/5/2020 17:00,1.544,12.429999,2020
1/5/2020 18:00,1.506,12.44,2020
1/5/2020 19:00,1.4720001,12.5,2020
1/5/2020 20:00,1.442,12.53,2020
1/5/2020 21:00,1.414,12.55,2020
1/5/2020 22:00,1.3900001,12.55,2020
1/5/2020 23:00,1.368,12.5199995,2020
1/6/2020 0:00,1.348,12.46,2020
1/6/2020 1:00,1.3260001,12.41,2020
1/6/2020 2:00,1.302,12.349999,2020
