Time,Hs,Tp,year
1/1/1998 0:00,5.1460004,14.469999,1998
1/1/1998 1:00,5.1660004,14.5199995,1998
1/1/1998 2:00,5.2260003,14.639999,1998
1/1/1998 3:00,5.314,14.7699995,1998
1/1/1998 4:00,5.414,14.87,1998
1/1/1998 5:00,5.51,14.929999,1998
1/1/1998 6:00,5.602,14.969999,1998
1/1/1998 7:00,5.702,15,1998
1/1/1998 8:00,5.8240004,15.04,1998
1/1/1998 9:00,5.958,15.08,1998
1/1/1998 10:00,6.0800004,14.94,1998
1/1/1998 11:00,6.168,14.94,1998
1/1/1998 12:00,6.222,15.37,1998
1/1/1998 13:00,6.268,19.42,1998
1/1/1998 14:00,6.3020005,19.199999,1998
1/1/1998 15:00,6.3040004,18.64,1998
1/1/1998 16:00,6.2760005,18.49,1998
1/1/1998 17:00,6.2180004,18.43,1998
1/1/1998 18:00,6.1340003,18.359999,1998
1/1/1998 19:00,6.0280004,18.25,1998
1/1/1998 20:00,5.9040003,18.14,1998
1/1/1998 21:00,5.768,18.05,1998
1/1/1998 22:00,5.6340003,17.96,1998
1/1/1998 23:00,5.5160003,17.859999,1998
1/2/1998 0:00,5.4160004,17.75,1998
1/2/1998 1:00,5.348,17.609999,1998
1/2/1998 2:00,5.3,17.17,1998
1/2/1998 3:00,5.274,16.64,1998
1/2/1998 4:00,5.2700005,16.42,1998
1/2/1998 5:00,5.288,16.3,1998
1/2/1998 6:00,5.3160005,16.22,1998
1/2/1998 7:00,5.34,16.15,1998
1/2/1998 8:00,5.354,16.039999,1998
1/2/1998 9:00,5.3560004,15.88,1998
1/2/1998 10:00,5.368,15.46,1998
1/2/1998 11:00,5.394,15.28,1998
1/2/1998 12:00,5.4240003,15.21,1998
1/2/1998 13:00,5.472,15.2,1998
1/2/1998 14:00,5.558,15.21,1998
1/2/1998 15:00,5.688,15.24,1998
1/2/1998 16:00,5.86,15.299999,1998
1/2/1998 17:00,6.0820003,15.41,1998
1/2/1998 18:00,6.3220005,15.62,1998
1/2/1998 19:00,6.5520005,16.02,1998
1/2/1998 20:00,6.7180004,16.46,1998
1/2/1998 21:00,6.8,16.73,1998
1/2/1998 22:00,6.7900004,16.88,1998
1/2/1998 23:00,6.702,16.93,1998
1/3/1998 0:00,6.5800004,16.92,1998
1/3/1998 1:00,6.4400005,16.88,1998
1/3/1998 2:00,6.3020005,16.82,1998
1/3/1998 3:00,6.1720004,16.77,1998
1/3/1998 4:00,6.0620003,16.72,1998
1/3/1998 5:00,5.966,16.64,1998
1/3/1998 6:00,5.872,16.55,1998
1/3/1998 7:00,5.7840004,16.46,1998
1/3/1998 8:00,5.6920004,16.359999,1998
1/3/1998 9:00,5.598,16.25,1998
1/3/1998 10:00,5.506,16.13,1998
1/3/1998 11:00,5.418,15.99,1998
1/3/1998 12:00,5.348,15.719999,1998
1/3/1998 13:00,5.314,15.429999,1998
1/3/1998 14:00,5.314,15.23,1998
1/3/1998 15:00,5.314,15.08,1998
1/3/1998 16:00,5.306,14.969999,1998
1/3/1998 17:00,5.314,14.889999,1998
1/3/1998 18:00,5.352,14.83,1998
1/3/1998 19:00,5.414,14.799999,1998
1/3/1998 20:00,5.5000005,14.79,1998
1/3/1998 21:00,5.596,14.809999,1998
1/3/1998 22:00,5.6840005,14.88,1998
1/3/1998 23:00,5.734,14.94,1998
1/4/1998 0:00,5.736,14.98,1998
1/4/1998 1:00,5.7000003,14.98,1998
1/4/1998 2:00,5.6200004,14.929999,1998
1/4/1998 3:00,5.5200005,14.88,1998
1/4/1998 4:00,5.4360003,14.839999,1998
1/4/1998 5:00,5.3620005,14.79,1998
1/4/1998 6:00,5.288,14.73,1998
1/4/1998 7:00,5.214,14.67,1998
1/4/1998 8:00,5.142,14.599999,1998
1/4/1998 9:00,5.0860004,14.509999,1998
1/4/1998 10:00,5.0620003,14.37,1998
1/4/1998 11:00,5.084,14.24,1998
1/4/1998 12:00,5.168,14.15,1998
1/4/1998 13:00,5.314,14.09,1998
1/4/1998 14:00,5.55,14.09,1998
1/4/1998 15:00,5.932,14.28,1998
1/4/1998 16:00,6.4340005,15.08,1998
1/4/1998 17:00,6.846,15.799999,1998
1/4/1998 18:00,7.0660005,16.39,1998
1/4/1998 19:00,7.136,16.449999,1998
1/4/1998 20:00,7.102,16.4,1998
1/4/1998 21:00,7.0000005,16.31,1998
1/4/1998 22:00,6.8740005,16.21,1998
1/4/1998 23:00,6.722,16.08,1998
1/5/1998 0:00,6.55,15.7699995,1998
1/5/1998 1:00,6.3820004,15.44,1998
1/5/1998 2:00,6.2380004,15.28,1998
1/5/1998 3:00,6.1080003,15.179999,1998
1/5/1998 4:00,5.9900002,15.12,1998
1/5/1998 5:00,5.8840003,15.089999,1998
1/5/1998 6:00,5.794,15.089999,1998
1/5/1998 7:00,5.714,15.099999,1998
1/5/1998 8:00,5.6460004,15.089999,1998
1/5/1998 9:00,5.5820003,15.059999,1998
1/5/1998 10:00,5.5260005,15,1998
1/5/1998 11:00,5.466,14.929999,1998
1/5/1998 12:00,5.4,14.82,1998
1/5/1998 13:00,5.34,14.71,1998
1/5/1998 14:00,5.2960005,14.61,1998
1/5/1998 15:00,5.2660003,14.54,1998
1/5/1998 16:00,5.2520003,14.509999,1998
1/5/1998 17:00,5.2460003,14.48,1998
1/5/1998 18:00,5.234,14.44,1998
1/5/1998 19:00,5.214,14.36,1998
1/5/1998 20:00,5.19,14.28,1998
1/5/1998 21:00,5.164,14.21,1998
1/5/1998 22:00,5.144,14.179999,1998
1/5/1998 23:00,5.118,14.17,1998
1/6/1998 0:00,5.0820003,14.179999,1998
1/6/1998 1:00,5.038,14.179999,1998
1/6/1998 2:00,4.986,14.15,1998
1/6/1998 3:00,4.9280005,14.11,1998
1/6/1998 4:00,4.8700004,14.08,1998
1/6/1998 5:00,4.8120003,14.059999,1998
1/6/1998 6:00,4.76,14.0199995,1998
1/6/1998 7:00,4.708,13.96,1998
1/6/1998 8:00,4.6540003,13.88,1998
1/6/1998 9:00,4.598,13.79,1998
1/6/1998 10:00,4.544,13.71,1998
1/6/1998 11:00,4.492,13.639999,1998
1/6/1998 12:00,4.4360003,13.58,1998
1/6/1998 13:00,4.368,13.53,1998
1/6/1998 14:00,4.2900004,13.46,1998
1/6/1998 15:00,4.1980004,13.4,1998
1/6/1998 16:00,4.1060004,13.34,1998
1/6/1998 17:00,4.0160003,13.25,1998
1/6/1998 18:00,3.9420002,13.15,1998
1/6/1998 19:00,3.8920002,12.99,1998
1/6/1998 20:00,3.88,12.86,1998
1/6/1998 21:00,3.9040003,12.7699995,1998
1/6/1998 22:00,3.9380002,12.71,1998
1/6/1998 23:00,3.9860003,12.67,1998
1/7/1998 0:00,4.076,12.66,1998
1/7/1998 1:00,4.224,12.69,1998
1/7/1998 2:00,4.452,12.83,1998
1/7/1998 3:00,4.754,14.7,1998
1/7/1998 4:00,5.092,14.75,1998
1/7/1998 5:00,5.4160004,14.839999,1998
1/7/1998 6:00,5.7040005,19.22,1998
1/7/1998 7:00,5.9480004,19.25,1998
1/7/1998 8:00,6.1600003,18.32,1998
1/7/1998 9:00,6.3500004,18.16,1998
1/7/1998 10:00,6.51,18.18,1998
1/7/1998 11:00,6.6200004,18.22,1998
1/7/1998 12:00,6.682,18.22,1998
1/7/1998 13:00,6.7040005,18.13,1998
1/7/1998 14:00,6.6980004,18.029999,1998
1/7/1998 15:00,6.6640005,17.96,1998
1/7/1998 16:00,6.6080003,17.89,1998
1/7/1998 17:00,6.5340004,17.8,1998
1/7/1998 18:00,6.4540005,17.619999,1998
1/7/1998 19:00,6.346,17.13,1998
1/7/1998 20:00,6.2320004,16.75,1998
1/7/1998 21:00,6.1320004,16.57,1998
1/7/1998 22:00,6.056,16.48,1998
1/7/1998 23:00,5.992,16.42,1998
1/8/1998 0:00,5.926,16.38,1998
1/8/1998 1:00,5.8500004,16.33,1998
1/8/1998 2:00,5.7580004,16.26,1998
1/8/1998 3:00,5.6520004,16.14,1998
1/8/1998 4:00,5.5540004,15.96,1998
1/8/1998 5:00,5.4620004,15.63,1998
1/8/1998 6:00,5.3780003,15.42,1998
1/8/1998 7:00,5.3040004,15.309999,1998
1/8/1998 8:00,5.228,15.25,1998
1/8/1998 9:00,5.1600003,15.219999,1998
